question,vanna_cost_without_schema,vanna_response_time_without_schema,vanna_text_response_without_schema,vanna_sql_query_without_schema,vanna_accuracy_and_relevancy_without_schema,vanna_language_and_script_without_schema,vanna_cost_with_schema,vanna_response_time_with_schema,vanna_text_response_with_schema,vanna_sql_query_with_schema,vanna_accuracy_and_relevancy_with_schema,vanna_language_and_script_with_schema,aam_cost,aam_response_time,aam_text_response,aam_sql_query,aam_accuracy_and_relevancy,aam_language_and_script,question_type,language,correct_answer,correct_sql_response
How many active COVID cases are there in Chennai?,0.000885,3.070131778717041,None,"SELECT 
    c.district, 
    (c.treatment - c.discharged - c.deaths) AS active_cases
FROM 
    covid_cases_11_may c
WHERE 
    c.district = 'Chennai';",0,1,0.0008250000000000001,2.101194381713867,"   num_persons_under_treatment_on_11_may
0                                  37713","SELECT num_persons_under_treatment_on_11_may 
FROM covid_cases_11_may 
WHERE district_name = 'Chennai';",1,1,0.011085,9.88550853729248,"As of 11th May, there are 37,713 active COVID cases in Chennai. This information was retrieved from the database where the number of persons under treatment on 11th May for Chennai district was recorded.",SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';,1,1,Basic questions,English,There are 37713 active COVID cases in Chennai as of May 11.,SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';
How many beds with oxygen supply are available in Vellore?,0.000585,2.5267298221588135,None,"SELECT available_with_oxygen 
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
WHERE district = 'Vellore';",0,1,0.00093,2.3841724395751953,"   num_vacant_beds_with_o2_supply
0                              53","SELECT num_vacant_beds_with_o2_supply 
FROM bed_vacancies_health_centers_and_district_hospitals_11_may 
WHERE district_name = 'Vellore';",1,1,0.012700000000000001,9.360489845275879,There are 53 beds with oxygen supply available in Vellore. This information was retrieved from the database that tracks bed vacancies in health centers and district hospitals as of May 11.,SELECT num_vacant_beds_with_o2_supply FROM bed_vacancies_health_centers_and_district_hospitals_11_may WHERE district_name = 'Vellore';,1,1,Basic questions,English,There are 53 beds available in Vellore with oxygen supply.,SELECT num_vacant_beds_with_o2_supply FROM bed_vacancies_health_centers_and_district_hospitals_11_may WHERE district_name = 'Vellore';
Which district has the highest number of beds set aside for COVID patients?,0.0015450000000000001,3.2257578372955322,None,"SELECT district, SUM(beds_earmarked) as total_beds_earmarked
FROM (
    SELECT district, beds_earmarked 
    FROM bed_vacancies_clinics_may_11
    UNION ALL
    SELECT district, beds_earmarked 
    FROM bed_vacancies_health_centers_and_district_hospitals_11_may
)
GROUP BY district
ORDER BY total_beds_earmarked DESC
LIMIT 1;",0,1,0.0015300000000000001,3.0106968879699707,"  district_name  total_earmarked_beds
0       Chennai                 13155","SELECT district_name, 
       (num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu) AS total_earmarked_beds
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
ORDER BY total_earmarked_beds DESC
LIMIT 1;",1,1,0.01489,11.246116876602173,"The district with the highest number of beds set aside for COVID patients is Chennai, with a total of 13,155 earmarked beds. This information was obtained by summing up the number of earmarked beds with oxygen supply, without oxygen supply, and in ICU from the available data.","SELECT district_name, (num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu) AS total_earmarked_beds FROM bed_vacancies_health_centers_and_district_hospitals_11_may ORDER BY total_earmarked_beds DESC LIMIT 1;",1,1,Basic questions,English,Chennai has the highest number of beds set aside for COVID patients.,SELECT district_name FROM bed_vacancies_clinics_11_may ORDER BY num_earmarked_beds DESC LIMIT 1
What is the distribution of active COVID cases over districts?,0.0006600000000000001,2.216212749481201,None,"SELECT district, 
       (SUM(treated) - SUM(discharged) - SUM(died)) AS active_cases
FROM covid_cases_11_may
GROUP BY district;",0,1,0.008295,1.8749310970306396,"                           district_name  \
0                               Ariyalur   
1                           Chengalpattu   
2                                Chennai   
3                             Coimbatore   
4                              Cuddalore   
5                             Dharmapuri   
6                               Dindigul   
7                                  Erode   
8                           Kallakurichi   
9                           Kancheepuram   
10                         Kanniyakumari   
11                                 Karur   
12                           Krishnagiri   
13                               Madurai   
14                          Nagapattinam   
15                              Namakkal   
16                              Nilgiris   
17                            Perambalur   
18                           Pudukkottai   
19                        Ramanathapuram   
20                               Ranipet   
21                                 Salem   
22                             Sivaganga   
23                               Tenkasi   
24                             Thanjavur   
25                                 Theni   
26                           Thoothukudi   
27                       Tiruchirappalli   
28                           Tirunelveli   
29                            Tirupathur   
30                              Tiruppur   
31                            Tiruvallur   
32                        Tiruvannamalai   
33                             Tiruvarur   
34                               Vellore   
35                            Villupuram   
36                          Virudhunagar   
37  Airport Surveillance (International)   
38       Airport Surveillance (Domestic)   
39                  Railway Surveillance   

    num_persons_under_treatment_on_11_may  
0                                     624  
1                                   13038  
2                                   37713  
3                                   14324  
4                                    2708  
5                                    1662  
6                                    1994  
7                                    4421  
8                                    1342  
9                                    4696  
10                                   3544  
11                                   1459  
12                                   3358  
13                                   6561  
14                                   2061  
15                                   2063  
16                                    912  
17                                    839  
18                                   1235  
19                                   1314  
20                                   2162  
21                                   3475  
22                                    938  
23                                   1667  
24                                   3450  
25                                   2844  
26                                   4906  
27                                   4882  
28                                   4628  
29                                   1969  
30                                   3912  
31                                   8109  
32                                   3044  
33                                   1821  
34                                   3607  
35                                   2517  
36                                   2376  
37                                      5  
38                                      1  
39                                      0  ","SELECT district_name, num_persons_under_treatment_on_11_may 
FROM covid_cases_11_may;",1,1,0.017065000000000004,12.996092081069946,"The distribution of active COVID cases over districts as of 11th May is as follows: Ariyalur (624), Chengalpattu (13038), Chennai (37713), Coimbatore (14324), Cuddalore (2708), Dharmapuri (1662), Dindigul (1994), Erode (4421), Kallakurichi (1342), Kancheepuram (4696), Kanniyakumari (3544), Karur (1459), Krishnagiri (3358), Madurai (6561), Nagapattinam (2061), Namakkal (2063), Nilgiris (912), Perambalur (839), Pudukkottai (1235), Ramanathapuram (1314), Ranipet (2162), Salem (3475), Sivaganga (938), Tenkasi (1667), Thanjavur (3450), Theni (2844), Thoothukudi (4906), Tiruchirappalli (4882), Tirunelveli (4628), Tirupathur (1969), Tiruppur (3912), Tiruvallur (8109), Tiruvannamalai (3044), Tiruvarur (1821), Vellore (3607), Villupuram (2517), Virudhunagar (2376), Airport Surveillance (International) (5), Airport Surveillance (Domestic) (1), Railway Surveillance (0). This data was retrieved from the COVID cases database for 11th May.","SELECT district_name, num_persons_under_treatment_on_11_may FROM covid_cases_11_may;",1,1,Basic questions,English,"District name | Active covid cases
Ariyalur|624
Chengalpattu|13038
Chennai|37713
Coimbatore|14324
Cuddalore|2708
Dharmapuri|1662
Dindigul|1994
Erode|4421
Kallakurichi|1342
Kancheepuram|4696
Kanniyakumari|3544
Karur|1459
Krishnagiri|3358
Madurai|6561
Nagapattinam|2061
Namakkal|2063
Nilgiris|912
Perambalur|839
Pudukkottai|1235
Ramanathapuram|1314
Ranipet|2162
Salem|3475
Sivaganga|938
Tenkasi|1667
Thanjavur|3450
Theni|2844
Thoothukudi|4906
Tiruchirappalli|4882
Tirunelveli|4628
Tirupathur|1969
Tiruppur|3912
Tiruvallur|8109
Tiruvannamalai|3044
Tiruvarur|1821
Vellore|3607
Villupuram|2517
Virudhunagar|2376
Airport Surveillance (International)|5
Airport Surveillance (Domestic)|1
Railway Surveillance|0","SELECT district_name, num_persons_under_treatment_on_11_may FROM covid_cases_11_may;"
List the districts in order of highest to lowest based on the availability of beds with oxygen.,0.0006150000000000001,2.144467830657959,None,"SELECT district, beds_available_with_oxygen
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
ORDER BY beds_available_with_oxygen DESC;",0,1,0.006390000000000001,2.502124071121216,"      district_name  num_vacant_beds_with_o2_supply
0             Erode                             522
1         Sivaganga                             459
2       Pudukkottai                             250
3     Kanniyakumari                             209
4          Dindigul                             181
5           Chennai                             171
6   Tiruchirappalli                             165
7    Ramanathapuram                             137
8          Tiruppur                             117
9           Madurai                             113
10      Krishnagiri                             109
11     Nagapattinam                              83
12        Thanjavur                              83
13       Perambalur                              71
14         Ariyalur                              70
15            Karur                              63
16      Tirunelveli                              59
17         Nilgiris                              57
18         Namakkal                              53
19          Vellore                              53
20      Thoothukudi                              45
21     Virudhunagar                              43
22       Tiruvallur                              39
23   Tiruvannamalai                              31
24          Tenkasi                              28
25            Theni                              24
26       Coimbatore                              19
27       Tirupathur                              17
28            Salem                              16
29        Tiruvarur                              16
30       Villupuram                              12
31        Cuddalore                               7
32     Chengalpattu                               6
33     Kancheepuram                               6
34     Kallakurichi                               2
35       Dharmapuri                               0
36          Ranipet                               0","SELECT district_name, num_vacant_beds_with_o2_supply
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
ORDER BY num_vacant_beds_with_o2_supply DESC;",1,1,0.01818,20.137701988220215,"The districts in order of highest to lowest based on the availability of beds with oxygen are as follows: Erode (522), Sivaganga (459), Pudukkottai (250), Kanniyakumari (209), Dindigul (181), Chennai (171), Tiruchirappalli (165), Ramanathapuram (137), Tiruppur (117), Madurai (113), Krishnagiri (109), Nagapattinam (83), Thanjavur (83), Perambalur (71), Ariyalur (70), Karur (63), Tirunelveli (59), Nilgiris (57), Namakkal (53), Vellore (53), Thoothukudi (45), Virudhunagar (43), Tiruvallur (39), Tiruvannamalai (31), Tenkasi (28), Theni (24), Coimbatore (19), Tirupathur (17), Salem (16), Tiruvarur (16), Villupuram (12), Cuddalore (7), Chengalpattu (6), Kancheepuram (6), Kallakurichi (2), Dharmapuri (0), Ranipet (0). This list was generated based on the latest data available on the number of vacant beds with oxygen supply in each district.","SELECT district_name, num_vacant_beds_with_o2_supply FROM bed_vacancies_health_centers_and_district_hospitals_11_may ORDER BY num_vacant_beds_with_o2_supply DESC;",1,1,Basic questions,English,"Erode
Sivaganga
Pudukkottai
Kanniyakumari
Dindigul
Chennai
Tiruchirappalli
Ramanathapuram
Tiruppur
Madurai
Krishnagiri
Nagapattinam
Thanjavur
Perambalur
Ariyalur
Karur
Tirunelveli
Nilgiris
Namakkal
Vellore
Thoothukudi
Virudhunagar
Tiruvallur
Tiruvannamalai
Tenkasi
Theni
Coimbatore
Tirupathur
Salem
Tiruvarur
Villupuram
Cuddalore
Chengalpattu
Kancheepuram
Kallakurichi
Dharmapuri
Ranipet",SELECT district_name FROM bed_vacancies_health_centers_and_district_hospitals_11_may ORDER BY num_vacant_beds_with_o2_supply DESC;
Which districts have > 200 beds available with oxygen supply?,0.000555,2.4323573112487793,None,"SELECT district
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
WHERE beds_available_with_oxygen_supply > 200;",0,1,0.0011400000000000002,3.372408866882324,"   district_name
0          Erode
1  Kanniyakumari
2    Pudukkottai
3      Sivaganga","SELECT district_name 
FROM bed_vacancies_health_centers_and_district_hospitals_11_may 
WHERE num_vacant_beds_with_o2_supply > 200;",1,1,0.012995,12.01470136642456,"The districts that have more than 200 beds available with oxygen supply are Erode, Kanniyakumari, Pudukkottai, and Sivaganga. This information was obtained by checking the bed availability data for health centers and district hospitals as of May 11.",SELECT district_name FROM bed_vacancies_health_centers_and_district_hospitals_11_may WHERE num_vacant_beds_with_o2_supply > 200;,1,1,Basic questions,English,"Erode
Kanniyakumari
Pudukkottai
Sivaganga",SELECT district_name FROM bed_vacancies_health_centers_and_district_hospitals_11_may WHERE num_vacant_beds_with_o2_supply > 200;
Which are the top 5 and bottom 5 districts by earmarked beds?,0.0039900000000000005,8.488038778305054,None,"SELECT district, earmarked_beds
FROM (
    SELECT district, SUM(earmarked_beds) AS earmarked_beds
    FROM (
        SELECT district, beds_earmarked AS earmarked_beds
        FROM bed_vacancies_clinics_may_11
        UNION ALL
        SELECT district, beds_earmarked AS earmarked_beds
        FROM bed_vacancies_health_centers_and_district_hospitals_11_may
    ) combined_beds
    GROUP BY district
) total_earmarked_beds
ORDER BY earmarked_beds DESC
LIMIT 5

UNION ALL

SELECT district, earmarked_beds
FROM (
    SELECT district, SUM(earmarked_beds) AS earmarked_beds
    FROM (
        SELECT district, beds_earmarked AS earmarked_beds
        FROM bed_vacancies_clinics_may_11
        UNION ALL
        SELECT district, beds_earmarked AS earmarked_beds
        FROM bed_vacancies_health_centers_and_district_hospitals_11_may
    ) combined_beds
    GROUP BY district
) total_earmarked_beds
ORDER BY earmarked_beds ASC
LIMIT 5;",0,1,0.0021149999999999997,4.355413198471069,"  district_name  total_earmarked_beds
0    Villupuram                   346
1       Tenkasi                   372
2      Ariyalur                   436
3    Dharmapuri                   568
4      Nilgiris                   588","SELECT district_name, 
       (num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu) AS total_earmarked_beds
FROM bed_vacancies_health_centers_and_district_hospitals_11_may
ORDER BY total_earmarked_beds ASC
LIMIT 5;",0,1,0.01347,9.698349237442017,"(sqlite3.ProgrammingError) You can only execute one statement at a time.
[SQL: SELECT district_name, (num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu) AS total_earmarked_beds FROM bed_vacancies_health_centers_and_district_hospitals_11_may ORDER BY total_earmarked_beds DESC LIMIT 5; UNION ALL SELECT district_name, total_earmarked_beds FROM (SELECT district_name, (num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu) AS total_earmarked_beds FROM bed_vacancies_health_centers_and_district_hospitals_11_may ORDER BY total_earmarked_beds ASC LIMIT 5) AS bottom_5;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,0,1,Basic questions,English,"Top 5: 
Chennai	20334, 
Coimbatore	8272, 
Chengalpattu	7444, 
Madurai	6013, 
Salem	5481

Bottom 5:
Ariyalur	824,
Perambalur	894, 
Nilgiris	916, 
Nagapattinam	992, 
Tenkasi	1045","WITH combined_beds AS (
    SELECT district_name, num_earmarked_beds AS total_earmarked_beds 
    FROM bed_vacancies_clinics_11_may 
    UNION ALL 
    SELECT district_name, num_earmarked_beds_with_o2_supply + num_earmarked_beds_without_o2_supply + num_earmarked_beds_in_icu 
    AS total_earmarked_beds FROM bed_vacancies_health_centers_and_district_hospitals_11_may
),
ranked_beds AS (
    SELECT district_name, SUM(total_earmarked_beds) AS total_earmarked_beds,
           ROW_NUMBER() OVER (ORDER BY SUM(total_earmarked_beds) DESC) AS rank_desc,
           ROW_NUMBER() OVER (ORDER BY SUM(total_earmarked_beds) ASC) AS rank_asc
    FROM combined_beds
    GROUP BY district_name
)
SELECT district_name, total_earmarked_beds, 'top' AS rank_type
FROM ranked_beds
WHERE rank_desc <= 5
UNION ALL
SELECT district_name, total_earmarked_beds, 'bottom' AS rank_type
FROM ranked_beds
WHERE rank_asc <= 5;"
Chennai mei kitne active COVID cases hai?,0.00099,3.138746976852417,None,"SELECT 
    district,
    (SUM(people_received_treatment) - SUM(discharged) - SUM(died)) AS active_cases
FROM 
    covid_cases_11_may
WHERE 
    district = 'Chennai'
GROUP BY 
    district;",0,1,0.0008250000000000001,2.130884885787964,"   num_persons_under_treatment_on_11_may
0                                  37713","SELECT num_persons_under_treatment_on_11_may 
FROM covid_cases_11_may 
WHERE district_name = 'Chennai';",1,0,0.010825,8.034545421600342,"Chennai mei 11 May ko 37,713 active COVID cases the. Yeh data COVID cases ke database se liya gaya hai.",SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';,1,1,Language support,Hindi in Latin script,11 maee tak chennee mein 37713 sakriy seeoveeaeedee ​​​​maamale hain.,SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';
चेन्नई में कितने सक्रिय कोविड मामले हैं?,0.00108,2.5498175621032715,None,"SELECT 
    (SUM(covid_cases_11_may.treatment) - SUM(covid_cases_11_may.discharged) - SUM(covid_cases_11_may.deaths)) AS active_cases
FROM 
    covid_cases_11_may
WHERE 
    district = 'Chennai';",0,0,0.0009450000000000001,2.3958899974823,"Empty DataFrame
Columns: [num_persons_under_treatment_on_11_may]
Index: []","SELECT num_persons_under_treatment_on_11_may 
FROM covid_cases_11_may 
WHERE district_name = 'चेन्नई';",0,1,0.011005000000000001,8.188115358352661,"चेन्नई में 11 मई को सक्रिय कोविड मामलों की संख्या 37,713 है। यह जानकारी कोविड मामलों के डेटाबेस से प्राप्त हुई है।",SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';,1,1,Language support,Hindi in Devanagari script,11 मई तक चेन्नई में 37713 सक्रिय सीओवीआईडी ​​​​मामले हैं।,SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';
combien y a-t-il de cas de covid actifs à Chennai?,0.0007650000000000001,2.553053379058838,None,"SELECT district, (SUM(received_treatment) - SUM(discharged) - SUM(died)) AS active_cases
FROM covid_cases_11_may
WHERE district = 'Chennai'
GROUP BY district;",0,0,0.0008250000000000001,2.0398201942443848,"   num_persons_under_treatment_on_11_may
0                                  37713","SELECT num_persons_under_treatment_on_11_may 
FROM covid_cases_11_may 
WHERE district_name = 'Chennai';",1,0,0.011045000000000001,8.86774230003357,"Il y a actuellement 37,713 cas actifs de COVID-19 à Chennai. Cette information provient de la base de données des cas de COVID-19 mise à jour le 11 mai.",SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';,1,1,Language support,French,Il y a 37 713 cas de COVID actifs à Chennai au 11 mai.,SELECT num_persons_under_treatment_on_11_may FROM covid_cases_11_may WHERE district_name = 'Chennai';
